2022-02-24 02:11:07.815330+00:00 nozzle: 0 | time: 1645668667.8152018 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.816417+00:00 nozzle: 3 | time: 1645668667.8163059 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.817588+00:00 nozzle: 2 | time: 1645668667.8174534 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.818490+00:00 nozzle: 2 | time: 1645668667.818393 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.819142+00:00 nozzle: 3 | time: 1645668667.819033 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.819798+00:00 nozzle: 3 | time: 1645668667.8197012 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.820444+00:00 nozzle: 2 | time: 1645668667.8203135 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.821083+00:00 nozzle: 0 | time: 1645668667.821005 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.821478+00:00 nozzle: 3 | time: 1645668667.8214219 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.822053+00:00 nozzle: 2 | time: 1645668667.8219628 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.822595+00:00 nozzle: 3 | time: 1645668667.822509 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.823165+00:00 nozzle: 1 | time: 1645668667.8230686 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.824099+00:00 nozzle: 2 | time: 1645668667.8239725 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.824769+00:00 nozzle: 0 | time: 1645668667.8246822 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.825351+00:00 nozzle: 2 | time: 1645668667.825271 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.825862+00:00 nozzle: 3 | time: 1645668667.8257883 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.826342+00:00 nozzle: 2 | time: 1645668667.826257 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.826833+00:00 nozzle: 2 | time: 1645668667.8267567 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.827296+00:00 nozzle: 3 | time: 1645668667.8272276 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.827820+00:00 nozzle: 2 | time: 1645668667.8277152 | location 0 | delay: 0 | duration: 0.15
